,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
162,Diamant Esports,Felix,Logitech G Pro X Superlight Black,1000.0,800.0,0.34,272.0,0.71,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro Headset
163,DetonatioN Gaming,Suggest,Logitech G Pro X Superlight Magenta,1000.0,1600.0,0.15,240.0,1.0,Alienware AW2518H,1280x960,XTEN Control,Logitech G915,Logitech G Pro X Headset
164,DetonatioN Gaming,takej,ZOWIE EC2-CW,1000.0,1600.0,0.15,240.0,0.85,ZOWIE XL2546S,1280x960,SteelSeries QcK Heavy,Logitech G713,Logitech G Pro X Headset
165,IGZIST,allow,Logitech G Pro X Superlight White,1000.0,800.0,0.23399999999999999,187.0,1.0,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset
166,Evil Geniuses,Boostio,FinalMouse Starlight Pro,1000.0,800.0,0.233,186.4,1.0,LG ULTRAGEAR 27GN750-B,1920x1080,ZOWIE G-SR-SE Rouge,Vortex Pok3r RGB,HyperX Cloud II
167,Evil Geniuses,C0M,Logitech G Pro X Superlight White,1000.0,800.0,0.25,200.0,0.9,ZOWIE XL2546,1440x1080,Gamesense RUSH,Wooting 60 HE,HyperX Cloud II
168,Evil Geniuses,Ethan,SteelSeries Prime,1000.0,400.0,0.69,240.0,0.81,ZOWIE XL2540,1440x1080,Lethal Gaming Gear Saturn,Wooting 60 HE,HyperX Cloud II
169,Evil Geniuses,jawgemo,ZOWIE EC3-CW,1000.0,1600.0,0.22,352.0,1.0,Alienware AW2521HF,1920x1080,Lethal Gaming Gear Saturn,Wooting 60 HE,beyerdynamic DT 990 Pro
170,Evil Geniuses,Demon1,Razer Viper Mini Signature Edition,8000.0,1600.0,0.1,160.0,1.0,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II
171,Bleed eSports,Crazyface,ASUS ROG Harpe Ace,1000.0,400.0,0.785,314.0,1.0,ZOWIE XL2566K,1920x1080,ASUS ROG Hone Ace Aim Lab,ASUS ROG Falchion Ace,ASUS ROG Fusion II 500
172,Bleed eSports,yay,Logitech G Pro X Superlight Black,1000.0,800.0,0.27,216.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,HyperX Cloud II
173,Bleed eSports,sScary,Logitech G Pro X Superlight Black,1000.0,800.0,0.38,304.0,1.1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Logitech G Pro X Keyboard,HyperX Cloud Alpha S
174,BBL Esports,Brave,Endgame Gear XM2we,1000.0,400.0,0.85,340.0,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK+,Logitech G Pro X Keyboard,Logitech G Pro X Headset
175,BBL Esports,aimdll,Razer Deathadder V3 Pro Black,1000.0,400.0,0.49,196.0,1.0,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II
176,BBL Esports,AsLanM4shadoW,Logitech G Pro X Superlight Red,1000.0,400.0,0.45,180.0,0.9,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Razer BlackWidow X Chroma Mercury,HyperX Cloud II
177,BBL Esports,pAura,Logitech G Pro X Superlight Black,1000.0,400.0,0.6,240.0,1.0,ZOWIE XL2546,1920x1080,SteelSeries QcK+,HyperX Alloy FPS Pro,HyperX Cloud II
178,T1,Carpe,Logitech G Pro Wireless,1000.0,900.0,0.23399999999999999,210.6,1.0,Lenovo Legion Y25-25,1920x1080,Logitech G640 Original,Custom Keyboard,Sennheiser GAME ZERO
179,T1,k1Ng,ZOWIE EC2-CW,1000.0,400.0,0.41,164.0,0.9,ZOWIE XL2546S,1280x960,VAXEE PA Winter22,Corsair K70 RGB,HyperX Cloud II
180,T1,xeta,Logitech G Pro X Superlight Red,1000.0,400.0,0.58,231.0,0.85,ZOWIE XL2546,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO
